state,district,month,ASSI,assi_after_centers,assi_after_bio_drive
100000,100000,2025-09-01,-1.4561361687192254,-1.4561361687192254,-1.4561361687192254
100000,100000,2025-10-01,-1.835646414888067,-1.835646414888067,-1.835646414888067
100000,100000,2025-11-01,-0.6280650526811109,-0.6280650526811109,-0.6280650526811109
100000,100000,2025-12-01,-0.4652719479120683,-0.4652719479120683,-0.4652719479120683
Andaman & Nicobar Islands,Andamans,2025-03-01,-0.6571852159865542,-0.6571852159865542,-0.6571852159865542
Andaman & Nicobar Islands,Andamans,2025-04-01,-0.6767507882600947,-0.6767507882600947,-0.6767507882600947
Andaman & Nicobar Islands,Andamans,2025-05-01,-0.6801151916928483,-0.6801151916928483,-0.6801151916928483
Andaman & Nicobar Islands,Andamans,2025-06-01,-0.7183750459239622,-0.7183750459239622,-0.7183750459239622
Andaman & Nicobar Islands,Andamans,2025-07-01,-0.6239709647148137,-0.6239709647148137,-0.6239709647148137
Andaman & Nicobar Islands,Andamans,2025-09-01,0.2872669358778095,0.2872669358778095,0.2872669358778095
Andaman & Nicobar Islands,Andamans,2025-10-01,-0.8168363923625859,-0.8168363923625859,-0.8168363923625859
Andaman & Nicobar Islands,Andamans,2025-11-01,-0.6102540803431923,-0.6102540803431923,-0.6102540803431923
Andaman & Nicobar Islands,Andamans,2025-12-01,-0.27867649245474396,-0.27867649245474396,-0.27867649245474396
Andaman & Nicobar Islands,Nicobars,2025-09-01,-1.3533848495987186,-1.3533848495987186,-1.3533848495987186
Andaman & Nicobar Islands,Nicobars,2025-11-01,-1.6315452896827347,-1.6315452896827347,-1.6315452896827347
Andaman & Nicobar Islands,Nicobars,2025-12-01,-1.3533429602460259,-1.3533429602460259,-1.3533429602460259
Andaman & Nicobar Islands,South Andaman,2025-09-01,-0.6830533976004503,-0.6830533976004503,-0.6830533976004503
Andaman & Nicobar Islands,South Andaman,2025-10-01,-0.9800384643321552,-0.9800384643321552,-0.9800384643321552
Andaman & Nicobar Islands,South Andaman,2025-11-01,-0.622087170966021,-0.622087170966021,-0.622087170966021
Andaman & Nicobar Islands,South Andaman,2025-12-01,-0.6734243444709207,-0.6734243444709207,-0.6734243444709207
Andaman and Nicobar Islands,Nicobar,2025-03-01,-0.4743450440710525,-0.4743450440710525,-0.4743450440710525
Andaman and Nicobar Islands,Nicobar,2025-04-01,-0.6186464237402218,-0.6186464237402218,-0.6186464237402218
Andaman and Nicobar Islands,Nicobar,2025-05-01,-0.7951262081301977,-0.7951262081301977,-0.7951262081301977
